Language Code,,,Official Word,variation 1:,variation 2:,variation 3:,variation 4:,variation 5:,variation 6:,variation 7:
E,,,assimilate,assimilates,assimilated,assimilating,assimilation,assimilateness,,
E,,,associate,associates,associated,associating,association,,,
E,,,assume,assumes,assumed,assuming,assumption,assumer,assumedly,
E,,,astrology,astrological,astrologism,,,,,
E,,,atheist,atheists,atheistical,atheistically,atheism,,,
E,,,atmosphere,atmospheric,,,,,,
E,,,atom,atoms,atomic,atomical,atomize,,,
E,,,attain,attained,attains,attaining,attainment,attainable,attainments,attainer
E,,,attend,attended,attends,attending,attendant,attentive,attendants,
E,,,attitude,attitudes,,,,,,
E,,,attract,attracted,attracts,attracting,attraction,attractions,attractive,attractively
E,,,attribute,attributes,attributed,attributing,attribution,attributive,,
E,,,atttach,attaches,attached,attaching,attachment,attachedly,attacher,attachable
E,,,audible,audibly,audibilization,,,,,
E,,,audience,audiences,,,,,,
E,,,austere,austerity,austerities,austerelya,austereness,,,
E,,,authentic,authentically,,,,,,
E,,,author,authored,authors,authoring,,,,
E,,,authorize,authorized,authorizes,authorizing,authoritative,authority,authorities,authorization
E,,,automatic,automatically,automate,automation,automating,automated,automates,
E,,,autumn,autumnal,,,,,,
E,,,avatar,avatars,,,,,,
E,,,avert,averted,averts,averting,aversion,aversive,,
E,,,Avila,,,,,,,
E,,,avoid,avoids,avoided,avoiding,avoidance,avoider,avoidable,avoidably
E,,,awaken,awakened,awakens,awakening,awakes,awoke,awoken,
E,,,aware,awareness,awares,awarer,awarest,awarely,,
E,,,awful,awfully,awfuller,awfullest,,,,
E,,,bad,baddest,badly,badness,worse,worst,worser,worsest
E,,,bag,bags,baggage,bagging,bagged,bagger,,
E,,,balance,balanced,balances,balancing,balancement,balancer,,
E,,,ball,balls,balled,balling,baller,,,
E,,,bamboo,bamboos,,,,,,
E,,,Bangladesh,Bangladeshi,,,,,,
E,,,bank,banked,banks,banking,banker,bankers,,
E,,,banner,banners,bannered,bannering,bannerman,banned,banning,
E,,,banyan,banyans,,,,,,
E,,,base,based,bases,basing,basement,baser,basest,basal
E,,,bat,bat,batly,bats,batting,batter,batsman,
E,,,bath,bathed,baths,bathe,bathing,bathes,,
E,,,battle,battles,battled,battling,,,,
E,,,bay,bays,baying,bayed,bayer,bayest,,
E,,,bead,beads,beady,beaded,beading,beadier,beadiest,beadily
E,,,beak,beaks,beaked,beakedly,,,,
E,,,beam,beams,beamed,beaming,,,,
E,,,bean,beans,beaned,beaning,,,,
E,,,bear,bears,bearable,bearing,bare,bore,borne,born
E,,,beast,beasts,beastly,beastier,beastliest,beastliness,beasted,beasting
E,,,beat,beats,beaten,beating,,,,
E,,,beauty,beauties,beautiful,beautifully,beauteous,beauteously,beautiness,
E,,,bed,bedded,beds,bedroom,bedside,bedtime,bedding,embed
E,,,bee,bees,beely,,,,,
E,,,befriend,befriended,befriends,befriending,,,,
E,,,begin,begins,beginning,began,beginnings,,,
E,,,behave,behaved,behaves,behaving,behavior,behavioral,behaviors,behaviorism
E,,,being,beings,,,,,,
E,,,belief,beliefs,believed,believing,believer,believable,,
E,,,bell,bells,bellish,belled,,,,
E,,,bellow,bellows,bellowed,bellowing,bellower,,,
E,,,belly,bellies,bellied,,,,,
E,,,belong,belonged,belongs,belonging,belongingly,,,
E,,,belove,beloves,beloved,belovedness,,,,
E,,,bend,bent,bends,bending,bendy,bendlier,bendliest,
E,,,benediction,benedictions,benedictional,,,,,
E,,,benefactor,benefactors,,,,,,
E,,,benevolent,benevolence,benevolences,benevolently,benevolentness,,,
E,,,Bengal,Bengali,,,,,,
E,,,bereave,bereaved,bereavement,bereavedly,bereft,bereftness,,
E,,,berry,berries,berrying,berried,,,,
E,,,besiege,besieges,besieged,besieging,besieger,besiegement,,
E,,,bidirectional,bidirectionally,,,,,,
E,,,big,bigger,biggest,bigly,,,,
E,,,bile,bileful,bilious,biliary,biles,,,
E,,,bind,binds,bound,binding,binded,bindee,binder,bindery
E,,,bird,birds,birdier,birdiest,birded,birding,,
E,,,birth,births,birthed,birthing,birthright,,,
E,,,bitter,bitterly,embittered,,,,,
E,,,black,blacks,blacked,blacking,blacker,blackest,,
E,,,blade,blades,bladed,,,,,
E,,,blaze,blazes,blazed,blazing,blazer,,,
E,,,blend,blended,blends,blending,blender,blenderize,blenderizing,blenderized
E,,,bless,blessed,blesses,blessing,blesser,blessers,blessingly,
E,,,blind,blinded,blindly,blinds,blinding,blindingly,blindness,
E,,,blink,blinked,blinks,blinking,blinker,blinkers,,
E,,,bliss,blissful,blissfulness,blissfully,,,,
E,,,blood,bloody,bloodier,bloodiest,bloodily,bloodiness,,
E,,,bloom,bloomed,blooms,blooming,bloomer,bloomers,,
E,,,blow,blows,blowing,blown,blew,blower,blowest,
E,,,blue,blues,,,,,,
E,,,board,boards,boarder,boarding,boarden,,,
E,,,bodiless,bodyless,bodilessness,bodylessness,,,,
E,,,body,bodies,bodyful,,,,,
E,,,boil,boiled,boils,boiling,,,,
E,,,bolt,bolts,bolted,bolting,,,,
E,,,bond,bonds,bonded,bonding,,,,
E,,,bone,bones,boner,boned,boney,bony,bonier,boniest
E,,,boon,boons,booner,boonest,boon,,,
E,,,border,borders,bordered,,,,,
E,,,bow,bowed,bows,bowing,,,,
E,,,boy,boys,boyish,boyishness,,,,
E,,,brain,brains,,brainy,brainier,braniest,,
E,,,brainwash,brainwashing,brainwashed,brainwashes,brainwasher,brainwashable,,
E,,,branch,branched,branches,branching,,,,
E,,,brave,braver,bravery,,,,,
E,,,break,breaks,breaking,broken,breakdown,breakthrough,,
E,,,breathe,breathes,breathing,breathless,breathlessness,breaths,breath,
E,,,bridge,bridges,,,,,,
E,,,bridle,bridles,,,,,,
E,,,brief,briefly,briefest,,,,,
E,,,bright,brighten,brighter,brightest,brightness,,,
E,,,brilliant,brilliantly,,,,,,
E,,,bring,brings,bringing,brought,,,,
E,,,bristle,bristles,bristled,bristling,,,,
E,,,brook,brooks,,,,,,
E,,,brother,brothers,brotherhood,,,,,
E,,,brow,brows,,,,,,
E,,,buffalo,buffaloes,,,,,,
E,,,build,builds,building,buildings,built,buildup,,
E,,,burn,burns,burned,burning,burner,,,
E,,,bury,buries,buried,burying,burial,burials,,
E,,,butler,butters,buttered,buttering,,,,
E,,,buttermilk,,,,,,,
E,,,buy,bought,buys,buying,buyer,,,
E,,,call,calls,called,calling,caller,callingly,,
E,,,calm,calms,calmed,calming,calmer,calmest,calmly,
E,,,camel,camels,cameleer,camelry,,,,
E,,,camp,camps,camp,campground,campsite,,,
E,,,cane,canes,cane,,,,,
E,,,cantonment,cantonments,,,,,,
E,,,capable,capably,capability,capabilities,,,,
E,,,capital,capitals,capitallly,capitalism,capitalist,capitalistic,,
E,,,careless,carelessly,carelessness,carelessest,,,,
E,,,carry,carriers,carried,carries,carrying,,,
E,,,cart,carts,carted,carting,carty,cart-like,cartier,cartiest
E,,,carve,carving,carved,carves,carver,,,
E,,,case,cases,cased,casing,caser,case-sensitive,,
E,,,caste,castes,casteism,,,,,
E,,,casual,casually,casualty,,,,,
E,,,cat,cats,catty,,,,,
E,,,category,categories,categorical,categorize,categorizes,categorizing,categorization,categorically
E,,,cause,causes,caused,causing,causation,causal,,
E,,,causeless,causelessly,,,,,,
E,,,caustic,causticity,caustic,,,,,
E,,,caution,cautions,cautious,cautiously,cautionary,,,
E,,,cave,caves,caved,caving,caver,cavernous,,
E,,,cease,cessations,ceased,ceases,ceasing,ceaseless,,
E,,,celestial,celestials,,,,,,
E,,,center,centers,center,centerpiece,central,centrally,centric,centered
E,,,century,centuries,century,centennial,,,,
E,,,ceremony,ceremonies,ceremonial,ceremonialism,,,,
E,,,chafe,chafes,chafed,chafing,chafening,,,
E,,,chair,chairs,chair,,,,,
E,,,change,changes,changed,changing,changer,changeable,,
E,,,channel,channels,channeled,channeling,channeler,channelable,,
E,,,chant,chants,chanted,chanting,chantingly,,,
E,,,character,characters,characterise,characterization,characterisation,characterize,,
E,,,charge,charges,charged,charging,charger,chargeable,,
E,,,chariot,chariots,charioteer,,,,,
E,,,charity,charities,charitable,charitably,,,,
E,,,charm,charms,charmed,charming,charmer,,,
E,,,chaste,chaster,chastest,chastity,,,,
E,,,check,checks,checked,checking,checker,,,
E,,,cheek,cheeks,cheeky,cheekily,cheekiness,,,
E,,,cheer,cheers,cheered,cheering,cheeriness,cheery,cheerily,
E,,,chemical,chemically,chemicals,,,,,
E,,,chen,,,,,,,
E,,,cherish,cherishes,cherished,cherishing,cherishment,cherishable,,
E,,,chest,chests,,,,,,
E,,,chicken,chickens,,,,,,
E,,,chief,chiefs,chieftan,,,,,
E,,,child,children,,,,,,
E,,,chin,chin,chins,chinning,,,,
E,,,chip,chip,chips,chipping,chipped,chipper,chippy,chippily
E,,,chloride,,,,,,,
E,,,choose,choose,chooses,choosing,chose,chosen,chooser,
E,,,chorus,choral,chorale,,,,,
E,,,cinnamon,cinnamonic,,,,,,
E,,,circambulate,circambulates,circambulated,circambulating,circambulator,circambulation,,
E,,,circle,circles,circular,,,,,
E,,,city,cities,citify,citification,,,,
E,,,civilize,civilizes,civilizedc,civilizing,civilization,civilizable,,
E,,,clan,clans,clannish,,,,,
E,,,clap,clap,claps,clapping,clapped,clapper,,
E,,,clarify,clarify,clarifies,clarifying,clarified,clarification,,
E,,,class,classes,classed,classy,classily,,,
E,,,classify,classifies,classified,classifying,classification,classifier,classifiers,
E,,,clean,cleans,cleaned,cleaning,cleaner,cleanly,cleanliness,
E,,,clear,clears,cleared,clearing,clearance,clearable,,
E,,,cling,clings,clung,clinging,clinger,,,
E,,,cloth,cloths,clothe,clothes,clothing,,,
E,,,cloud,clouds,cloudy,,,,,
E,,,club,clubs,clubbed,clubbing,clubber,,,
E,,,cobra,cobras,,,,,,
E,,,cock,cocktail,,,,,,
E,,,cognize,cognizes,cognized,cognizing,cognition,,,
E,,,coil,coils,coiled,coiling,,,,
E,,,cold,colder,coldest,coldness,colds,,,
E,,,collarbone,collarbones,clavicle,clavicles,,,,
E,,,collect,collects,collected,collecting,collector,collection,collectors,
E,,,color,colors,colored,coloring,colorless,colorings,,
E,,,colorless,colorlessness,,,,,,
E,,,column,columns,,,,,,
E,,,combine,combines,combined,combining,combination,combinations,,
E,,,come,comes,came,coming,,,,
E,,,comfort,comforts,comforted,comforting,comforter,comfortable,comfortably,
E,,,command,commands,commanded,commanding,commander,commandable,,
E,,,commence,commences,commenced,commencing,commencement,commenceable,,
E,,,comment,comments,commented,commenting,commentator,,,
E,,,commit,commits,committed,committing,commitment,commitments,,
E,,,communicate,communicates,communicated,communicating,communication,communications,,
E,,,community,communities,,,,,,
E,,,company,companies,,,,,,
E,,,compare,compares,compared,comparing,comparison,comparisons,,
E,,,compassion,compassionate,compassionately,,,,,
E,,,compendium,compendia,compendiums,,,,,
E,,,compile,compiles,compiled,compiling,compilation,compilations,,
E,,,complete,completes,completed,completing,completion,completely,,
E,,,complex,complexity,,,,,,
E,,,component,components,componentize,componence,componentizes,componentized,componentizing,
E,,,compose,composes,composed,composing,composer,composite,compositing,
E,,,comprehend,comprehends,comprehended,comprehending,comprehension,comprehensive,,
E,,,conceal,conceals,concealed,concealing,concealment,,,
E,,,concentrate,concentrate,concentrates,concentrated,concentrating,concentration,,
E,,,concept,concepts,conceptual,conceptualize,conceptualizes,conceptualized,conceptualizing,
E,,,conch,conch,conches,,,,,
E,,,conclude,concludes,concluded,concluding,conclusion,,,
E,,,condense,condenses,condensed,condensing,condensation,condensed,,
E,,,condition,conditions,conditioned,conditioning,conditioner,,,
E,,,conduct,conducts,conducted,conducting,conductor,,,
E,,,confer,confers,conferred,conferring,conference,conferable,,
E,,,confide,confides,confided,confiding,confidant,,,
E,,,confident,confidently,confidence,confidential,,,,
E,,,configure,configures,configured,configuring,configuration,,,
E,,,conflict,conflicts,conflicted,conflicting,confliction,conflictional,conflictionally,
E,,,confuse,confuses,confused,confusing,confusion,confusions,,
E,,,conjunct,conjuncts,conjuncted,conjuncting,conjunctive,conjunctively,,
E,,,connect,connects,connected,connecting,connection,connections,,
E,,,conquer,conquers,conquered,conquering,conqueror,conquest,,
E,,,conscience,conscientiously,conscientious,,,,,
E,,,conscious,consciousness,consciously,,,,,
E,,,consecutive,consecutively,,,,,,
E,,,consequence,consequential,consequentially,consequent,consecution,,,
E,,,consider,considers,considered,considering,considerable,consideration,,
E,,,consist,consists,consisted,consisting,consistency,,,
E,,,consonant,consonants,,,,,,
E,,,consort,consorts,consorted,consorting,consort,,,
E,,,constant,constantly,constance,,,,,
E,,,constellation,constellations,constellational,,,,,
E,,,constitute,constitutes,constituted,constituting,constitutive,constituent,constituents,constituency
E,,,contact,contacts,contacted,contacting,contact,,,
E,,,contain,contains,contained,containing,container,containment,,
E,,,contemplate,contemplates,contemplated,contemplating,contemplative,,,
E,,,content,contents,contented,contentment,,,,
E,,,contest,contests,contested,contesting,contestant,contestation,,
E,,,context,contexts,contextual,contextually,,,,
E,,,continent,continents,continental,,,,,
E,,,continue,continues,continued,continuing,continuity,continuous,continuum,
E,,,contradict,contradicts,contradicted,contradicting,contradiction,contradictory,,
E,,,contrary,contrarian,contrarism,contraries,contrarily,,,
E,,,contrast,contrasts,contrasted,contrasting,contrast,,,
E,,,control,controls,controlled,controlling,controller,,,
E,,,convert,converts,converted,converting,,,,
E,,,convey,conveys,conveyed,conveying,,,,
E,,,cook,cooks,cooked,cooking,,,,
E,,,cool,cools,cooled,cooling,coolness,,,
E,,,cooperate,cooperates,cooperated,cooperating,cooperation,,,
E,,,copy,copies,copied,copying,copy,copyright,,
E,,,cord,cords,corded,cording,,,,
E,,,corporeal,corporeality,corporealization,corporealize,corporealism,corporealist,corporealized,corporealise
E,,,corpse,corpses,,,,,,
E,,,correct,corrects,corrected,correcting,correction,correctly,,
E,,,cosmology,cosmologies,,,,,,
E,,,cosmos,cosmic,cosmology,,,,,
E,,,cost,costs,costing,,,,,
E,,,cot,cots,,,,,,
E,,,couch,couches,couched,couching,couchedness,,,
E,,,count,counts,counted,counting,,,,
E,,,country,countries,countryside,,,,,
E,,,couple,couples,coupled,coupling,,,,
E,,,courage,courageous,,,,,,
E,,,course,courses,,,,,,
E,,,court,courts,courtly,crashes,,,,
E,,,covenant,covenants,,,,,,
E,,,cover,covers,covered,covering,coverings,,,
E,,,cow,cows,,,,,,
E,,,cowherd,cowherds,,,,,,
E,,,crabby,crabbier,crabbiest,,,,,
E,,,crack,cracks,cracked,cracking,,,,
E,,,crane,cranes,craned,craning,,,,
E,,,crave,craves,craved,craving,cravings,cravingness,,
E,,,create,creates,created,creating,creation,creator,creativity,
E,,,creature,creatures,,,,,,
E,,,cresent,cresents,cresented,cresenting,,,,
E,,,crocodile,crocodiles,,,,,,
E,,,crooked,crookedness,crooked,crookedly,,,,
E,,,crow,crows,crowed,crowing,crowingly,,,
E,,,crown,crowns,crowned,crowning,,,,
E,,,crystal,crystals,,,,,,
E,,,cuckoo,cuckoos,,,,,,
E,,,culinary,culinarian,,,,,,
E,,,culminate,culminates,culminated,culminating,culmination,,,
E,,,cure,cures,cured,curing,curative,curer,,
E,,,curfew,curfews,,,,,,
E,,,curl,curls,curled,curling,,,,
E,,,curve,curves,curved,curving,curvaceous,,,
E,,,custom,customs,customed,customing,customary,,,
E,,,customize,customized,customizes,customizing,customization,,,
E,,,customer,customers,,,,,,
E,,,costume,costume,costumal,,,,,
E,,,accustom,accustomed,accustoming,accustome,,,,
E,,,cut,cuts,cutting,,,,,
E,,,cycle,cycles,cycled,cyclic,cyclical,cycling,,
E,,,dam,dams,dammed,damming,,,,
E,,,dance,dances,danced,dancing,dancer,danceable,dancy,dancingly
E,,,dark,darkens,darkened,darkening,darker,darkly,,
E,,,daughter,daughters,,,,,,
E,,,dawn,dawns,dawned,dawning,,,,
E,,,day,days,daily,,,,,
E,,,dead,deader,deads,deadness,,,,
E,,,deal,deals,dealt,,,,,
E,,,dear,dearest,dearly,,,,,
E,,,death,deaths,deathly,,,,,
E,,,decay,decays,decaying,decayed,,,,
E,,,decease,deceased,deceaser,deceasing,,,,
E,,,deceive,deceived,deceives,deceiving,deception,,,
E,,,declare,declares,declared,declaring,,,,
E,,,declension,declensions,declensed,declensional,,,,
E,,,decrease,decreases,decreased,decreasing,,,,
E,,,dedicate,dedicates,dedicated,dedicating,dedication,,,
E,,,deduce,deduces,deduced,deducing,deduction,,,
E,,,deed,deeds,,,,,,
E,,,deep,deeply,deepness,,,,,
E,,,deer,deers,doe,buck,,,,
E,,,defame,defames,defamed,defaming,defamation,,,
E,,,defence,defences,defenced,defencing,defensive,defender,defensively,
E,,,define,defines,defined,defining,definitions,definitively,,
E,,,definite,definitive,definition,,,,,
E,,,deform,deforms,deformed,deforming,deformity,,,
E,,,degree,degrees,,,,,,
E,,,deity,deities,,,,,,
E,,,deliberate,deliberates,deliberated,deliberating,deliberation,deliberately,,
E,,,delight,delightes,delighted,delighting,,,,
E,,,delicious,deliciously,deliciousness,,,,,
E,,,delimit,delimits,delimited,delimiting,delimitation,,,
E,,,delude,deludes,deluded,deluding,delusion,delusive,,
E,,,demon,demons,demoness,demonize,demonizes,demonizing,demonization,demonic
E,,,denote,denotes,denoted,denoting,,,,
E,,,depart,departed,departing,departure,departs,,,
E,,,depend,dependence,dependent,,,,,
E,,,depict,depicts,depicted,depicting,,,,
E,,,depress,depressing,depressing,depression,,,,
E,,,derive,derives,derived,deriving,derivative,,,
E,,,descend,descends,descended,descending,descent,,,
E,,,describe,describes,described,describing,description,descriptions,,
E,,,desert,deserted,deserts,past desert,,,,
E,,,deserve,deserved,deserved,,,,,
E,,,design,designed,designs,past design,,,,
E,,,designate,designates,designated,designating,designation,designated,,
E,,,desire,desirable,desireless,desiring,desirous,despair,,
E,,,destiny,destinies,destination,fate,fates,fateful,,
E,,,destitute,destitution,,,,,,
E,,,destroy,destroys,destroying,destroyer,destroys,destructible,destruction,destructive
E,,,detach,detaches,detached,detaching,detachment,,,
E,,,determine,determinism,self-determine,determinant,determination,deterministic,determinist,
E,,,detoxify,detoxifier,detoxification,detoxifiable,detoxifies,detoxifying,detoxified,
E,,,develop,develops,developed,developing,developmental,development,,
E,,,deviate,deviates,deviated,deviating,deviation,,,
E,,,devoid,devoidness,devoids,devoiding,devoided,,,
E,,,devote,devotes,devoted,devoting,devotee,devotees,,
E,,,dialogue,dialogues,dialogise,dialogize,dialogic,dialogism,,
E,,,dictionary,dictionaries,Wiktionary,dictionaric,dicktionary,,,
E,,,die,dies,died,,,,,
E,,,differ,differs,differed,differing,different,differently,,
E,,,difficult,difficulty,difficulties,difficults,difficulting,difficulted,,
E,,,diffuse,diffuses,diffusing,diffused,diffuser,,,
E,,,diligent,dilligent,diligence,,,,,
E,,,direct,directs,directed,directing,direction,directions,directly,director
E,,,dirt,dirty,dirtless,dirten,,,,
E,,,disappear,disappears,disappeared,disappearing,disappearance,,,
E,,,discarnate,discarnation,,,,,,
E,,,discern,discerns,discerning,discerned,discerningly,discernment,discernments,
E,,,discharge,discharges,discharging,discharged,,,,
E,,,discipline,disciplines,disciplining,disciplined,disciplining,disciplinary,,
E,,,discontinue,discontinues,discontinuing,discontinued,discontinuing,discontinuation,discontinuations,
E,,,discourse,discourses,discoursing,discoursed,discursively,,,
E,,,discriminate,discriminates,discriminating,discriminated,discriminatorily,discrimination,discriminations,discriminatory
E,,,discuss,discusses,discussing,discussed,discussably,discussion,discussions,discussed
E,,,disease,diseases,diseased,,,,,
E,,,dish,dishes,dishing,dished,,,,
E,,,dishonest,dishonestly,dishonesty,dishonesties,,,,
E,,,disincline,disencline,disinclination,disinclines,disinclining,disinclined,disinclinations,
E,,,disintegrate,disintegrates,disintegrating,disintegrated,disintegratingly,disintegration,disintegrations,disintegrated
E,,,disjunction,disjunctions,disjunct,,,,,
E,,,dislike,dislikes,disliking,dislike,disliked,,,
E,,,disorder,disorders,disorderly,disorder,,,,
E,,,dispassion,dispassionate,dispassionately,dispassionateness,dispassions,,,
E,,,dispose,disposes,disposing,disposal,disposed,,,
E,,,dissolve,dissolves,dissolving,dissolution,dissolved,,,
E,,,distance,distances,distant,distantly,,,,
E,,,distill,distills,distilling,distillation,distilled,,,
E,,,distinct,distinct,distinction,distinctive,distinctively,,,
E,,,distinguish,distinguishes,distinguished,distinguishing,distinguishable,distinguishness,,
E,,,distract,distracts,distracting,distraction,distracted,distractedly,distractful,
E,,,distress,distresses,distressing,distressingly,distressed,distressful,disrtressfully,
E,,,distribute,distributes,distributing,distribution,distributors,,,
E,,,district,districts,districtual,district,districting,districted,,
E,,,disturb,disturbs,disturbing,disturbance,disturbingly,,,
E,,,disunion,disunion,,,,,,
E,,,ditch,ditches,ditching,ditched,,,,
E,,,diverse,diversity,diversely,,,,,
E,,,divide,divides,dividing,division,divisions,,,
E,,,divine,divinity,divinely,divination,divinities,,,
E,,,divorce,divorces,divorcing,divorce,divorced,,,
E,,,doctrine,doctrines,indoctrinate,doctrinal,doctrinize,doctrinization,,
E,,,document,documents,documentary,,,,,
E,,,dog,dogs,doggy,doggie,dogged,doggedly,doggedness,
E,,,domain,domains,,,,,,
E,,,domestic,domestic,dominance,dominant,,,,
E,,,dominate,dominates,dominating,dominated,dominance,dominations,dominion,
E,,,donate,donates,donating,donated,donation,donations,,
E,,,door,doors,portal,,,,,
E,,,dormant,dormants,dormancy,domantly,dormancies,,,
E,,,dose,doses,under-dose,overdose,overdosed,overdoses,overdosing,dosage
E,,,dot,dots,decimal,point,,,,
E,,,double,doubles,doubling,twofold,,,,
E,,,doubt,doubts,doubtful,doubter,doubtless,doubtable,,
E,,,down,downwards,downwardly,downward,,,,
E,,,down-facing,downfacing,down facing,,,,,
E,,,draw,draws,drawing,drawn,drawing,,,
E,,,dread,dreads,dreading,dreaded,dreadable,dreadful,dreadfulness,
E,,,dream,dreamed,dreamt,dreamer,dreaming,dreams,,
E,,,dreamless,dreamlessness,dreamlessly,,,,,
E,,,drink,drinks,drinking,drank,,,,
E,,,drop,drops,dropping,dropped,dropper,,,
