Lang code,Devanagari,Definition and notes,IAST (Official Word),IAST s diacritics,Ma Renu Method,Ma Renu s diacritics,Harvard- Kyoto,Alt Spelling 1,Alt Spelling 2,Alt Spelling 3,Alt Spelling 4,Alt Spelling 5,Alt Spelling 6,Unique to ITRANS  ,,,
S,अदृष्टे,"with regard to the imperceptible, in the case of the unseen",adṛṣṭe,adrste,adṛiṣhṭe,adrishte,adRSTe,,,,,,,adR^iShTe,adRRiShTe,,
S,अद्वैत,non duality,advaita,,,,,advait,,,,,,adwaita,,,
S,आगम,"testimony, testimonial knowledge, revealed authority; 1 of  3  forms of pramāna",āgama,agama,,,Agama,agamat,,,,,,aagama,,,
S,आगामि,"next, future, coming; a category of karma made by our present actions",āgāmi,agami,,,AgAmi,agame,,,,,,aagaami,,,
S,आगरा,origin; a city on the banks of the Yamuna river in Uttar Pradesh,āgarā,agara,,,AgarA,agra,,,,,,aagaraa,,,
S,अघोर,euphemistic title of Śiva,aghora,,,,,agor,,,,,,,,,
S,अघोरी,in trantric system one who rises above all rules is called aghorī,aghorī,aghori,,,aghorI,,,,,,,aghorii,,,
S,अग्नि,fire,agni,,,,,,,,,,,,,,
S,अग्निसार,power or essence of fire; as in agnisāra dhauti,agnisāra,agnisara,,,agnisAra,,,,,,,agnisaara,,,
S,आग्रह,calling or practicing,āgraha,agraha,,,Agraha,,,,,,,aagraha,,,
S,अहम्,"""I am""",aham,,,,,,,,,,,,,,
S,अहंकार,"ego, ""I amness"", identifying principle",ahaṃkāra,ahamkara,,,ahaMkAra,aamkar,ahamakar,ahamkarah,,,,aha.mkAra,aha.nkara,,
S,अहंकार,"ego, ""I amness"", identifying principle",ahaṃkāra,,,,,ahamkarat,,,,,,,,,
S,आहर,inspired air,āhara,ahara,,,Ahara,ahar,,,,,,aahara,,,
S,आहार,"to eat, taking food; part of the term pratyāhāra, not taking things in or stopping of outer stimulation to mind",āhāra,ahara,,,AhAra,athara,,,,,,aahaara,,,
S,आहरण,"taking, removing, robbing, act of seizing",āharaṇa,aharana,,,AharaNa,,,,,,,aaharaNa,,,
S,आहार्यम्,the seized,āhāryam,aharyam,,,AhAryam,,,,,,,aahaaryam,,,
S,आहत,"strike; anāhata comes from two words, an means without and āhat means strike ",āhat,ahat,,,Ahat,,,,,,,aahat,,,
S,अहत,sound produced through contact; vibration of 2 objects contacting,ahata,,,,,,,,,,,,,,
S,अहिंसा,non-violence,ahiṃsā,ahimsa,,,ahiMsA,ahumsa,,,,,,ahi.nsA,ahi.msA,,
S,अहिरावण,an ally or brother of Ravana in some versions of the Rāmāyaṇa (spelled Atiravan in document),Ahirāvaṇa,Ahiravana,,,ahirAvaNa,atiravana,,,,,,aahiraavaNa,,,
S,ऐश्वर्य,superhuman power; sovereingnty and spriritual freedom,aiśvarya,aisvarya,aiśhvarya,aishvarya,aizvarya,aisvaryam,,,,,,aishvarya,aishwarya,,
S,ऐश्वर्य,superhuman power; sovereingnty and spriritual freedom,aiśvarya,,,,,ishwarya,,,,,,,,,
S,अजन्त,"refers to the Ajanta caves in India, associated with artist yogis. ",ajanta,,,,,,,,,,,,,,
S,अजपा,a method of mantra 'without repetition' because it becomes automatic.,ajapa,,,,,,,,,,,,,,
S,आज्ञा,name of 6th cakra,ājñā,ajna,,,AjJA,,,,,,,Aj~nA,aaj~naa,aaGYaa,AGYA
S,अज्ञान,ignorance,ajñāna,ajnana,,,ajJAna,,,,,,,aj~nAna,aj~naana,aGYAna,aGYaana
S,अकल्पित,genuine; not artificial,akalpita,,,,,,,,,,,,,,
S,अकाण्ड,causeless,akāṇḍa,akanda,,,akANDa,,,,,,,akaaNDa,,,
S,अकारणात्,without any cause,akāraṇāt,akaranat,,,akAraNAt,,,,,,,akaaraNaat,,,
S,आकर्ण,"up to the ear or from the ear, as an arrow discharged from a bow",ākarṇa,akarna,,,AkarNa,,,,,,,aakarNa,,,
S,आकाश,"ether, one of the five gross elements (pañcabhūta); space",ākāśa,akasa,ākāśha,akasha,AkAza,akash,,,,,,AkAsha,aakaasha,,
S,आकाश,"ether, one of the five gross elements (pañcabhūta); space",ākāśa,,,,,akashic,,,,,,,,,
S,आख्या,"name, appellation (action of giving a name to a person or thing)",ākhyā,akhya,,,AkhyA,akhyani,akhyatam,akhyam,,,,aakhyaa,,,
S,अक्लिष्त,"not painful, non-painful actions or thoughts; non-binding thought; modifications of the citta which weaken the kleśas and bring knowledge; subtlest form of akliṣṭa-vṛtti is viveka-khyāti",akliṣṭa,aklista,aklishta,akliṣhṭa,akliSTa,,,,,,,akliShTa,,,
S,अक्ष,a son of Ravana; and the pleasure of playing dice.,Akṣa,aksa,akṣha,aksha,akSa,aksha,,,,,,akSha,,,
S,अक्षमाला,mala made of akṣa seeds (rudrakṣa),akṣamālā,aksamala,akṣhamālā,akshamala,akSamAlA,,,,,,,akShamaalaa,akShamAlA,,
S,अक्षर,a + kshara: the ‘a’ is not; ‘kshara’ is to wear out or wither away,akṣara,aksara,akṣhara,akshara,akSara,,,,,,,akShara,,,
S,आकुल,"uncoiled, as in ākula kuṇḍalinī",ākula,,akula,,,Akula,,,,,,aakula,,,
S,आकूत,"intention, purpose, incitement to activity",ākūta,,akuta,,AkUta,,,,,,,aakuuta,,,
S,अलब्ध,unobtained; non-achievement of a yogic state (one of nine obstacles to yoga) is alabdha bhūmikatva,alabdha,,,,,,,,,,,,,,
S,आलम्बन,"support, objects supporting concentration",ālambana,alambana,,,Alambana,alamba,,,,,,aalambana,,,
S,अलाप,"Hindi term, refers to resonance felt in the heart area when a rāga (music) is perfect; to tune the voice",alāpa,alapa,,,alApa,alap,,,,,,alaapa,,,
S,आलस्य,"laziness, sloth in work (one of nine obstacles to yoga)",ālasya,alasya,,,Alasya,,,,,,,aalasya,,,
S,आलिङ्ग,"without mark, unmanifest prakṛti; mūla-prakṛti; unmanifest guṇas in equilibrium, realized in sāsmitā samādhi",aliṅga,alinga,,,aliGga,,,,,,,ali~Nga,,,
S,अल्मोरा,"a municipal board and a cantonment town in the state of Uttarakhand, India. It is the administrative headquarters of Almora district.",Almora,,,,almora,,,,,,,,,,
S,आलोचनमात्रम्,the mere observation of things,ālocanamātram,alocanamatram,ālochanamātram,alochanamatram,AlochanamAtram,,,,,,,aalochanamaatram,,,
S,अमर्ष,vengeance; results from intolerance,amarṣa,amarsa,amarṣha,amarsha,amarSa,,,,,,,amarSha,,,
S,अम्बालिका,another name for Amba (from the Bhagavad Gītā),Ambālikā,Ambalika,,,ambAlikA,ambalika,,,,,,ambaalikaa,,,
S,अम्बिका,"sister to rudra; a word for mother, a good woman",Ambikā,Ambika,,,ambikA,ambIka,ambika,,,,,ambikaa,,,
S,अमृता,"ambrosia, spiritual liquor, nectar of the Gods",amṛta,amrta,amṛita,amrita,amRta,amrit,,,,,,amR^ita,amRRita,,
S,अनवच्छेदात्,"not being limited, delimitation",an-avacchedāt,an-avacchedat,an-avachchhedāt,an-avachchhedat,anavachchhedAt,,,,,,,anavachChedAt,anavachChedaat,anawachChedAt,
S,अनवच्छेदात्,"not being limited, delimitation",an-avacchedāt,,,,,,,,,,,anawachChedaat,,,
S,अनवस्थितत्वानि,instability (one of nine obstacles to yoga),an-avasthitatvāni,an-avasthitatvani,,,an-avasthitatvAni,,,,,,,an-avasthitatvaani,an-awasthitatwAni,an-awasthitatwaani,
S,अनागत,future; one of three lakṣaṇa-pariṇāma,anāgata,anagata,,,anAgata,,,,,,,anaagata,,,
S,अनाहत,"energy center (cakra = wheel; vortex; center of energy); an = not, negative + āhata = struck, beaten; the unstruck sound of nāda in the heart center; within the spine and suṣumnā nāḍī at the level of the center of the chest; often referred to as the “heart cakra”; known as hṛdaya(m) in the Vedas",anāhata,anahata,,,anAhata,anahat,,,,,,anaahata,,,
S,आनैश्वर्य,"absence of power, weakness",anaiśvarya,anaisvarya,anaiśhvarya,anaishvarya,anaizvarya,,,,,,,anaishwarya,,,
,आनन्द,"ecstasy, rapture, bliss",ānanda,ananda,,,Ananda,,,,,,,aananda,,,
S,आनन्दः,gratification,ānandah,anandah,,,AnandaH,anand,,,,,,aanandaH,,,
S,आनन्दमय,bliss sheath (most subtle of five sheaths or,ānandamaya,anandamaya,,,Anandamaya,,,,,,,aanandamaya,,,
S,आनन्दमयकोश,"one of five kośas (sheaths), lit. body of bliss ",ānandamayakośa,anandamayakosa,ānandamayakośha,anandamayakosha,Anandamayakoza,,,,,,,Anandamayakosha,aanandamayakosha,,
S,आनन्दनुगत,see sānanda-samādhi,ānandanugata,anandanugata ,,,Anandanugata,,,,,,,aanandanugata,,,
S,अनन्त,"infinite, eternal ",ananta,,,,,,,,,,,,,,
S,आनापान,mindfulness of inhalation and exhalation,ānāpānna-sati,anapanna-sati,,,AnApAnna-sati,anapanasmṛti,,,,,,aanaapaanna-sati,,,
S,अनात्मन्,"unreal, devoid of spirit",anātman,anatman,,,anAtman,anatman,anatma,,,,,anaatman,,,
S,अन्धतामिस्र,"blind, nocturnal",andhatāmisra,andhatamisra,,,andhatAmisra,,,,,,,andhataamisra,,,
S,अनेक,"manifold, multiform",aneka,,,,,anekam,,,,,,,,,
S,अङ्ग,part; limb,aṅga,anga,,,aGga,,,,,,,a~Nga,,,
S,अङ्गमेजयत्व,"nervousness, unsteadiness, shaking of limbs (one of five symptoms that accompany the distractions to sādhana)",aṅgamejayatva,angamejayatva,,,aGgamejayatva,,,,,,,a~Nagamejayatva,a~Nagamejayatwa,,
S,अङ्गुलि,"finger, toe",aṅguli,anguli,,,aGguli,,,,,,,a~Nguli,,,
S,अङ्गुष्ठ,"big toe, thumb",aṅguṣṭha,angustha,aṅguṣhṭha,angushtha,aGguSTha,,,,,,,a~NguShTha,,,
S,अनित्य,"non-eternal, impermanent, transitory",anitya,,,,,,,,,,,,,,
S,अनित्यम्,occasionally,anityam,,,,,,,,,,,,,,
S,अन्नं,food,annam,,,,,anna,,,,,,,,,
S,अन्नमय,composed of food (refer to annamayakośa),annamaya,,,,,anamaya,,,,,,,,,
S,अन्नमयकोश,"one of five kośas (sheaths), lit. sheath composed of food, the physical sheath",annamayakośa,annamayakosa,annamayakośha,annamayakosha,annamayakoza,,,,,,,,,,
S,अन्नपूर्ण,"Pārvatī, the consort of Shiva, identified with Shakti and Kālī as a goddess of love, maternity, and death",Annapūrṇa,Annapurna,,,annapUrNa,anapurna,,,,,,annapuurNa,,,
S,अन्तः,"ending in, extending up to; antaḥkaraṇa is human psyche; internal instruments (manas, buddhi, ahaṁkāra, citta)",antaḥ,antah,,,antaH ,,,,,,,,,,
S,अन्तःकरण,"human psyche; internal instruments (manas, buddhi, ahaṁkāra, chitta)",antaḥkaraṇa,antahkarana,,,antaHkaraNa,antakharana,antakarana,anatakarana,,,,,,,
S,अन्तर,"interior; antara kumbhaka refers to holding the breath in, after inhalation. Reference: Yoga Sūtras of Patañjali; YTT Manual, YTT",antara,,,,,antar,,,,,,,,,
S,अन्तरम्,within,antaram,,,,,,,,,,,,,,
S,अन्तरङ्ग,"three internal, intimate limbs of Aṣṭāṅga Yoga",antaraṅga,antaranga,,,antaraGga,,,,,,,antara~Nga,,,
S,अन्तराय,"obstacles, impediments",antarāya,antaraya,,,antarAya,,,,,,,antaraaya,,,
S,अनु,within,anu,,,,,,,,,,,,,,
S,अणु,the smallest unit that cannot be broken further; atom,aṇu,anu,,,aNu,,,,,,,,,,
S,अनुभूत,experienced,anubhūta,anubhuta,,,anubhUta,,,,,,,anubhuuta,,,
S,अनुगम,accompanied,anugama,,,,,,,,,,,,,,
S,अनुमान,inference,anumāna,anumana,,,anumAna,anumanam,anumanat,,,,,anumaana,,,
S,अनुपलब्धिः,"non-perception, non-recognition",anupalabdhiḥ,anupalabdhih,,,anupalabdhiH,,,,,,,,,,
S,अनुपान,fluid vehicle in medicine; substance such as an herb tea used as a vehicle for different drugs; example is tulasī,anupāna,anupana,,,anupAna,anupan,,,,,,anupaana,,,
S,अनुराग,"attachment, affection, love, passion",anurāga,anuraga,,,anurAga,anurag,,,,,,anuraaga,,,
S,आनुश्रव,"of the Vedic tradition, Vedic, the revealed",anuśrava,anusrava,anuśhrava,anushrava,anuzrava,,,,,,,anushrawa,,,
S,आनुश्रविक,"heard of, scriptures, revealed, imperceptible",ānuśravika,anusravika,ānuśhravika,anushravika,Anuzravika,,,,,,,aanushravika,aanushrawika,Anushrawika,
S,आनुश्रविकः,"heard of, scriptures, revealed, imperceptible",ānuśravikaḥ,anusravikah,ānuśhravikaḥ,anushravikah,AnuzravikaH,,,,,,,aanushravikaH,aanushrawikaH,AnushrawikaH,
S,अनुष्ठान,"religious practice; carrying out, undertaking",anuṣṭhāna,anusthana,anuṣhṭhāna,anushthana,anuSThAna,,,,,,,anuShThaana,,,
S,अनुस्वार,"m. ( svṛ-), after-sound, the nasal sound which is marked by a dot above the line, and which always belongs to a preceding vowel.",anusvāra,anusvara,,,anusvAra,,,,,,,anusvaara,anuswAra,anuswaara,
S,अन्वय,all-pervading; inherence of guṇas. needs clarification as meanings in dictionaries are quite different,anvaya,,,,,,,,,,,anwaya,,,
S,अन्यः,"the other; separately situated (the creation is made by the Lord, yet He remains separate from the creation)",anyaḥ,anyah,,,anyaH,anyata,,,,,,,,,
S,अपदेश,"second step in a syllogism; in the pañcadaśī in verse 32, upadesa = into himself, apadeśa = not into himself.",apadeśa,apadesa,apadeśha,apadesha,apadeza,,,,,,,,,,
S,अपः,"water, water element",āpaḥ,apah,,,ApaH,āpas,aapas,Apas,,,,aapaH,,,
S,अपामार्ग,"prickly chafe flower, achyranthese aspera, seeds or roots for medicinal use",apāmārga,apamarga,,,apAmArga,,,,,,,apaamaarga,,,
S,अपान,"“downward air”; one of the five-fold divisions of prāṇa, functions between the soles of the feet and the navel; the “away” breathing",apāna,apana,,,apAna,apan,,,,,,apaana,,,
S,अपराभक्ति,devotion to objects that can be apprehended by the senses as means to the aim of bhakti,aparābhakti,aparabhakti,,,aparAbhakti,,,,,,,aparaabhakti,,,
S,अपराबिन्दु,after creation begins,aparābindu,aparabindu,,,aparAbindu,,,,,,,aparaabindu,,,
S,अपरामृष्त,"untouched, unsmeared",aparāmṛṣṭa,aparamrsta,aparāmṛiṣhṭa,aparamrishta,aparAmRSTa,,,,,,,aparaamR^iShTa,aparAmR^iShTa,aparAmRRiShTa,
S,अपरामृष्त,"untouched, unsmeared",aparāmṛṣṭa,,,,,,,,,,,aparaamRRiShTa,,,
S,अपरवैराग्य,"dispassion for worldly objects (lower dispassion),",aparavairāgya,aparavairagya,,,aparavairAgya,,,,,,,aparavairaagya,aparawairAgya,aparawairaagya,
S,अपरिग्रह,"non-possessiveness, non-greed, non-hording (one of five yamas)",aparigraha,,,,,aparigrapa,,,,,,,,,
S,अपार्थ,"superfluous, useless",apārtha,apartha,apArtha,apaartha,,,,,,,,,,,
S,अपवर्ग,one of the two purposes of life (see bhoga),apavarga,,,,,aparara,apavara,apavargah,,,,apawarga,apawargah,,
S,अपि,"even, also",api,,,,,,,,,,,,,,
S,अप्रीति,"pain, the nature of rajas guṇa",aprīti,apriti,,,aprIti,,,,,,,apriiti,,,
S,आप्त,trustworthy person,āpta,apta,,,Apta,,,,,,,aapta,,,
S,अपुण्य,"vice, non-virtue",apuṇya,apunya,,,apuNya,,,,,,,,,,
S,आराधना,propitiation of the deities,ārādhanā,aradhana,,,ArAdhanA,,,,,,,aaraadhanaa,,,
S,आरती,"ritual worship with waving of light; it comes from the word, ārta = pained,distressed, afflicted. So it is a turning to the Divine for help for one in pain or distress",āratī,arati,,,AratI,ārti,,,,,,aartii,,,
S,अर्चन,homage paid to deities and superiors,arcana,,archana,,,,,,,,,,,,
S,अर्ध,half,ardha,,,,,,,,,,,,,,
S,अर्धमात्रा,"half of a short syllable; in symbolism in scriptures means top triangle, nirguna Brahm",ardhamātra,ardhamatra,,,ardhamAtra,,,,,,,ardhamaatra,,,
S,अर्धेन्दु,"half moon or crescent; semicircular line under the bindu (dot) in ॐ; First there is bindu (God). It gets excited and makes ardi (ardhendu, the semicircular line under the dot)",ardhendu,,,,,ardendu,,,,,,,,,
S,अरिष्टनि,"portents, of which there are three: personal (ādhyātmika), elemental (ādhibhautika), and divine (ādhidaivika); observation results in the knowledge of death",ariṣṭāni,aristani,ariṣhṭāni,arishtani,ariSTAni,,,,,,,ariShTaani,ariShTAni,,
S,अरिथा,"plant ""soap nut"" that grows in northern India",arīṭhā,aritha,,,arIThA,mita,,,,,,ariiThaa,,,
S,आर्जव,"alignment of thought, word, and deed",ārjava,arjava,,,Arjava,,,,,,,aarjava,Arjawa,aarjawa,
S,अर्जुन,"disciple of Kṛṣṇa; represents the pure mind, austerity",Arjuna,,,,,Arjun,,,,,,,,,
S,अर्क,liquid herbal preparation obtained by distillation technique,arka,,,,,arkas,,,,,,,,,
S,अर्पण,offering,arpaṇa,arpana,,,arpaNa,,,,,,,,,,
S,आर्त,out of pain which includes fear; one of four conditions out of which a person seeks for God,ārta,arta,,,Arta,arya,,,,,,aarta,,,
S,अर्थ,"object, form, true sense, meaning, object signified",artha,,,,,arthah,artham,,,,,,,,
S,अर्थ शास्त्र,"ancient Indian Sanskrit (Saṃskṛta) text on politics, econonmics, military strategy and the function of the state and social organizations; attributed to Kauṭilya",artha śāstra,artha sastra,artha śhāstra,artha shastra,artha zAstra,artha śāstram,,,,,,artha shaastra,,,
S,अर्थमात्र,only the object (context example YS I:43),arthamātra,arthamatra,,,arthamAtra,,,,,,,arthamaatra,,,
S,अर्थार्थि,"desire for worldly prosperity or power, one of four conditions out of which a person seeks for God",arthārthī,artharthi,,,arthArthI,artharti,,,,,,arthaarthii,,,
S,अर्थतः,for a single purpose,arthataḥ,arthatah,,,arthataH,,,,,,,,,,
S,अर्थवत्त्व,purposefulness; the purpose of the elements,arthavattva,,,,,,,,,,,arthawattva,,,
S,असक्तम्,without obstacles or resistance,asaktam,,,,,,,,,,,,,,
S,अनुरिI,attraction,anurakti,,,,,,,,,,,,,,
S,असामान्य,"uncommon, peculiar to each",asāmānyā,asamanya,,,asAmAnyA,,,,,,,asaamaanyaa,,,
S,असम्प्रज्ञान,want of (beyond) knowledge,asamprajñāna,asamprajnana,,,asamprajJAna,asamprajna,,,,,,asampraj~nAna,asampraj~naana,asampraGYAna,asampraGYaana
S,असम्प्रज्ञात,"a class of samadhi, superconsciousness beyond (perfect) knowledge; the Self dwelling in the Self",asamprajñāta,asamprajnata,,,asamprajJAta,asamprajnatha,,,,,,asampraj~nAta,asampraj~naata,asampraGYAta,asampraGYaata
S,असम्प्रज्ञात,"a class of samadhi, superconsciousness beyond (perfect) knowledge; the Self dwelling in the Self",asamprajñāta,,,,,asamprajna,asamprajnta,,,,,,,,
S,असम्प्रमोषः,"not being lost, not being stolen",asampramoṣaḥ,asampramosah,asampramoṣhaḥ,asampramoshah,asampramoSaH,,,,,,,asampramoShaH,,,
S,असंशक्ति,asaṁsakti (non-attachment) = paravairagya = stage of extreme dispassion; one of stages of progress towards enlightenment,asaṃśakti,asamsakti,asaṃśhakti,asamshakti,asaMzakti,asaṁśakti,,,,,,asaMshakti,asa.nshakti,,
S,असंशक्ति,asaṁsakti (non-attachment) = paravairagya = stage of extreme dispassion; one of stages of progress towards enlightenment,asaṃśakti,,,,,asanshakti,,,,,,asa.mshakti,,,
S,असंशयम,"without any doubt, non-doubt, freedom from doubt",asamśaya,asamsaya,asamśhaya,asamshaya,asamzaya,asamśayam,asamśayaḥ,,,,,,,,
S,आसन,"seat or posture, third arm of astanga yoga system",āsana,asana,,,Asana,,,,,,,aasana,,,
S,असन्न,"near, very close",āsanna,asanna,,,Asanna,,,,,,,aasanna,,,
S,असत्,non-existence,asat,,,,,,,,,,,,,,
S,आसव,stimulation or act of incitement,āsava,asava,,,Asava,,,,,,,Asawa,aasava,aasawa,
S,आशय,"accumulation, impression of desires wherein desires sleep; storehouse; dormant vāsanās are stored as saṁskāras until they mature into action (karma)",āśaya,asaya,āśhaya,ashaya,Azaya,,,,,,,aashaya,Ashaya,,
S,आसेवित,"pursued, practiced, continued",āsevita,asevita,,,Asevita,,,,,,,aasevita,Asewita,aasewita,
S,असिद्धं,not established,asiddhaṃ,asiddham,,,asiddhaM,asiddhaṁ,,,,,,asiddha.m,asiddha.n,,
S,अस्मात्,"from this, from that",asmat,,,,,,,,,,,,,,
S,अस्मि,I am,asmi,,,,,,,,,,,,,,
S,अस्मिता,"egoism (second of five kleśas, afflictions), “I-sense,” universal",asmitā,asmita,,,asmitA,,,,,,,asmitaa,,,
